iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
OWID_AFR,,Africa,2020-02-13,1373486472.0,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,
OWID_AFR,,Africa,2020-02-14,1373486472.0,1.0,1.0,,,0.0,,0.001,0.001,,,0.0,,,,,,,,,,
OWID_AFR,,Africa,2020-02-15,1373486472.0,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,
OWID_AFR,,Africa,2020-02-16,1373486472.0,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,
OWID_AFR,,Africa,2020-02-17,1373486472.0,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,
OWID_AFR,,Africa,2020-02-18,1373486472.0,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,
OWID_AFR,,Africa,2020-02-19,1373486472.0,1.0,0.0,0.143,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-20,1373486472.0,1.0,0.0,0.143,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-21,1373486472.0,1.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-22,1373486472.0,1.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-23,1373486472.0,1.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-24,1373486472.0,1.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-25,1373486472.0,2.0,1.0,0.143,,0.0,0.0,0.001,0.001,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-26,1373486472.0,2.0,0.0,0.143,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-27,1373486472.0,2.0,0.0,0.143,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-28,1373486472.0,3.0,1.0,0.286,,0.0,0.0,0.002,0.001,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-02-29,1373486472.0,3.0,0.0,0.286,,0.0,0.0,0.002,0.0,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-03-01,1373486472.0,4.0,1.0,0.429,,0.0,0.0,0.003,0.001,0.0,,0.0,0.0,,,,,,,,,
OWID_AFR,,Africa,2020-03-02,1373486472.0,8.0,4.0,1.0,,0.0,0.0,0.006,0.003,0.001,,0.0,0.0,,,,,,,,,
